brand,name,release_year,launch_price,pixel_rate,texture_rate,fp16,fp32,fp64,memory_size,source_url
AMD,AMD FirePro S9300 X2,2016,5999,62.40 GPixel/s,249.6 GTexel/s,,7.987 TFLOPS,499.2 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/firepro-s9300-x2.c2833
AMD,AMD Radeon Instinct MI6,2016,,39.46 GPixel/s,177.6 GTexel/s,5.682 TFLOPS (1:1),5.682 TFLOPS,355.1 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi6.c2927
AMD,AMD Radeon Instinct MI8,2016,,64.00 GPixel/s,256.0 GTexel/s,8.192 TFLOPS (1:1),8.192 TFLOPS,512.0 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi8.c2928
AMD,AMD Radeon Pro Duo,2016,1499,64.00 GPixel/s,256.0 GTexel/s,8.192 TFLOPS (1:1),8.192 TFLOPS,512.0 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-duo.c2828
AMD,AMD Radeon Pro SSG,2016,9999,67.20 GPixel/s,268.8 GTexel/s,17.20 TFLOPS (2:1),8.602 TFLOPS,537.6 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-ssg.c3978
AMD,AMD Radeon Pro V5300X,,,19.22 GPixel/s,76.86 GTexel/s,,2.460 TFLOPS,153.7 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v5300x.c3057
AMD,AMD Radeon Pro V7300X,,,39.78 GPixel/s,179.0 GTexel/s,,5.728 TFLOPS,358.0 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v7300x.c3058
AMD,AMD Radeon Pro V7350X2,,,39.78 GPixel/s,179.0 GTexel/s,,5.728 TFLOPS,358.0 GFLOPS (1:16),16 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v7350x2.c3059
AMD,AMD Radeon Pro WX 4100,2016,399,19.22 GPixel/s,76.86 GTexel/s,2.460 TFLOPS (1:1),2.460 TFLOPS,153.7 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-4100.c2874
AMD,AMD Radeon Pro WX 5100,2016,499,34.75 GPixel/s,121.6 GTexel/s,3.892 TFLOPS (1:1),3.892 TFLOPS,243.3 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-5100.c2873
AMD,AMD Radeon Pro WX 7100,2016,799,39.78 GPixel/s,179.0 GTexel/s,5.728 TFLOPS (1:1),5.728 TFLOPS,358.0 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-7100.c2872
AMD,AMD P30PH,,,38.59 GPixel/s,154.4 GTexel/s,4.940 TFLOPS (1:1),4.940 TFLOPS,308.7 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/p30ph.c3984
AMD,AMD Radeon Instinct MI25,2017,,96.00 GPixel/s,384.0 GTexel/s,24.58 TFLOPS (2:1),12.29 TFLOPS,768.0 GFLOPS (1:16),16 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi25.c2983
AMD,AMD Radeon Pro Duo Polaris,2017,999,39.78 GPixel/s,179.0 GTexel/s,5.728 TFLOPS (1:1),5.728 TFLOPS,358.0 GFLOPS (1:16),16 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-duo-polaris.c2953
AMD,AMD Radeon Pro SSG,2017,6999,96.00 GPixel/s,384.0 GTexel/s,24.58 TFLOPS (2:1),12.29 TFLOPS,768.0 GFLOPS (1:16),16 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-ssg.c2998
AMD,AMD Radeon Pro V320,2017,,96.00 GPixel/s,336.0 GTexel/s,21.50 TFLOPS (2:1),10.75 TFLOPS,672.0 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v320.c3270
AMD,AMD Radeon Pro WX 2100,2017,149,19.50 GPixel/s,39.01 GTexel/s,"1,248.3 GFLOPS (1:1)","1,248.3 GFLOPS",78.02 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-2100.c2979
AMD,AMD Radeon Pro WX 3100,2017,199,19.50 GPixel/s,39.01 GTexel/s,"1,248.3 GFLOPS (1:1)","1,248.3 GFLOPS",78.02 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-3100.c2978
AMD,AMD Radeon Pro WX 8100,2017,,96.00 GPixel/s,336.0 GTexel/s,21.50 TFLOPS (2:1),10.75 TFLOPS,672.0 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-8100.c3271
